name,x,y,hex
Anarchism,0.262346,-8.42901,#111111
Authoritarianism,0.375,5.97917,#00FFFF
Capitalism,7.07562,-0.333333,#D4AF37
Communism,-7.81944,4.61806,#B00020
Conservatism,5.23438,3.09201,#1F4E79
Environmentalism,-5.83333,-2.70833,#2E7D32
Fascism,3.7328,8.71429,#5A2A27
Liberalism,2.4158,-0.432292,#FF00FF
Libertarianism,4.09314,-4.9281,#F2C94C
Nationalism,2.54167,6.29167,#005249
Progressivism,-1.39141,-1.03283,#8E44AD
Social Democracy,-3.26243,-0.961257,#E75480
Socialism,-6.09936,2.91453,#E63946
Syndicalism,-5.77083,-4.21065,#F72902
